a_value,price_drug,EV_ct_pp,EV_nt_pp,EV_update_pp
0.5,13.362967449814695,25214.604218112276,32189.38808957267,36265.16477978793
0.5,14.105354530359957,25214.604218112276,29579.548296738292,34620.39846191492
0.5,14.847741610905219,25214.604218112276,26969.71258711265,33129.765939034114
0.5,15.59012869145048,25214.604218112276,24359.880968386504,31793.304371703594
0.5,16.33251577199574,25214.604218112276,21750.053446552636,30612.09038513531
0.5,17.074902852541005,25214.604218112276,19140.230025893175,29584.15652877177
0.5,17.817289933086265,25214.604218112276,16530.4107089709,28703.14848956908
0.5,18.559677013631525,25214.604218112276,13920.5954966236,27959.18459828567
0.5,19.30206409417679,25214.604218112276,11310.784387962394,27339.289550131005
0.6,10.393419127633651,25214.604218112276,42626.22038515922,43629.186356200444
0.6,11.135806208178911,25214.604218112276,40016.36774076152,41399.267745105644
0.6,11.878193288724173,25214.604218112276,37406.51878056182,39278.39038764434
0.6,12.620580369269435,25214.604218112276,34796.67351760407,37282.31972290316
0.6,13.362967449814695,25214.604218112276,32186.831963458968,35433.90989005752
0.6,14.105354530359957,25214.604218112276,29576.994128200353,33742.95776730679
0.6,14.847741610905219,25214.604218112276,26967.1600203843,32226.20948141209
0.6,15.59012869145048,25214.604218112276,24357.32964703146,30886.43874808119
0.6,16.33251577199574,25214.604218112276,21747.50301361249,29724.787175566493
0.6,17.074902852541005,25214.604218112276,19137.680124036408,28737.54422548837
0.6,17.817289933086265,25214.604218112276,16527.860980642705,27915.880652899712
0.6,18.559677013631525,25214.604218112276,13918.045584196172,27242.536364131654
0.6,19.30206409417679,25214.604218112276,11308.23393388538,26707.173910841437
0.7000000000000001,10.393419127633651,25214.604218112276,42624.224928751384,43278.873372210925
0.7000000000000001,11.135806208178911,25214.604218112276,40014.37490432114,40977.69738303249
0.7000000000000001,11.878193288724173,25214.604218112276,37404.528290795475,38781.96206632342
0.7000000000000001,12.620580369269435,25214.604218112276,34794.6851002507,36716.63871395717
0.7000000000000001,13.362967449814695,25214.604218112276,32184.845343399225,34806.42631916146
0.7000000000000001,14.105354530359957,25214.604218112276,29575.009029567616,33070.465226061795
0.7000000000000001,14.847741610905219,25214.604218112276,26965.176166677247,31527.375934491534
0.7000000000000001,15.59012869145048,25214.604218112276,24355.346761227982,30184.278194342136
0.7000000000000001,16.33251577199574,25214.604218112276,21745.520818284673,29042.13576402391
0.7000000000000001,17.074902852541005,25214.604218112276,19135.69834146635,28095.15702297108
0.7000000000000001,17.817289933086265,25214.604218112276,16525.879332938974,27330.163891935248
0.7000000000000001,18.559677013631525,25214.604218112276,13916.0637934106,26726.98942479323
0.7000000000000001,19.30206409417679,25214.604218112276,11306.251722129991,26269.03524244856
0.8,10.393419127633651,25214.604218112276,42622.61643765207,43043.04909456662
0.8,11.135806208178911,25214.604218112276,40012.76852511679,40681.36123566826
0.8,11.878193288724173,25214.604218112276,37402.9238031906,38419.3259179208
0.8,12.620580369269435,25214.604218112276,34793.08228316983,36288.91481589547
0.8,13.362967449814695,25214.604218112276,32183.243975075035,34318.68484889847
0.8,14.105354530359957,25214.604218112276,29573.408887630427,32538.321306441903
0.8,14.847741610905219,25214.604218112276,26963.57702824576,30968.7816756962
0.8,15.59012869145048,25214.604218112276,24353.7484030011,29622.251031597985
0.8,16.33251577199574,25214.604218112276,21743.92301663419,28499.47871727351
0.8,17.074902852541005,25214.604218112276,19134.100872530318,27592.907482264418
0.8,17.817289933086265,25214.604218112276,16524.28197271556,26882.425186028784
0.8,18.559677013631525,25214.604218112276,13914.466317852239,26346.62650482466
0.8,19.30206409417679,25214.604218112276,11304.653907237627,25959.41144489669
0.9,10.393419127633651,25214.604218112276,42621.284100905345,42885.30751574089
0.9,11.135806208178911,25214.604218112276,40011.437937683615,40469.87376909223
0.9,11.878193288724173,25214.604218112276,37401.59478259697,38150.567333956686
0.9,12.620580369269435,25214.604218112276,34791.75464629572,35958.88897735226
0.9,13.362967449814695,25214.604218112276,32181.917538227306,33931.998095704046
0.9,14.105354530359957,25214.604218112276,29572.08346661702,32107.627097791683
0.9,14.847741610905219,25214.604218112276,26962.252438450832,30511.267901513893
0.9,15.59012869145048,25214.604218112276,24352.42445946108,29161.177187180096
0.9,16.33251577199574,25214.604218112276,21742.599534114564,28057.99089419614
0.9,17.074902852541005,25214.604218112276,19132.777665602942,27191.573674404146
0.9,17.817289933086265,25214.604218112276,16522.958855836438,26534.997080322093
0.9,18.559677013631525,25214.604218112276,13913.143105439483,26062.819796389784
0.9,19.30206409417679,25214.604218112276,11303.330413749552,25739.143489773374
