a_value,price_drug,relative_price,EV_total,policy_indicator
0.2,12.620580369269437,-15,16.714904764216623,Policy 2
0.2,13.362967449814697,-10,16.57328393677156,Policy 2
0.2,14.105354530359955,-5,16.433650026824832,Policy 2
0.2,14.84774161090522,0,16.29594688267412,Policy 2
0.2,15.59012869145048,5,16.160183998389225,Policy 2
0.2,16.33251577199574,10,16.026381810149516,Policy 2
0.2,17.074902852541005,15,15.894535863573548,Policy 2
0.2,17.817289933086265,20,15.764654838945551,Policy 2
0.2,18.559677013631525,25,15.636652973661068,Policy 2
0.2,19.30206409417679,30,15.510509320653538,Policy 2
0.3,10.393419127633653,-30,17.093399907088543,Policy 2
0.3,11.135806208178913,-25,16.943493260434607,Policy 2
0.3,11.878193288724171,-20,16.795712350260658,Policy 2
0.3,12.620580369269437,-15,16.65010035212799,Policy 2
0.3,13.362967449814697,-10,16.506803521037813,Policy 2
0.3,14.105354530359955,-5,16.365985778153156,Policy 2
0.3,14.84774161090522,0,16.227672783930636,Policy 2
0.3,15.59012869145048,5,16.091855107459963,Policy 2
0.3,16.33251577199574,10,15.9585525700151,Policy 2
0.3,17.074902852541005,15,15.827763957271332,Policy 2
0.3,17.817289933086265,20,15.699427437602173,Policy 2
0.3,18.559677013631525,25,15.5734754016634,Policy 2
0.3,19.30206409417679,30,15.449816229998012,Policy 2
0.4,10.393419127633653,-30,17.062140645972512,Policy 2
0.4,11.135806208178913,-25,16.909732478894092,Policy 2
0.4,11.878193288724171,-20,16.75962858904135,Policy 2
0.4,12.620580369269437,-15,16.612110956151145,Policy 2
0.4,13.362967449814697,-10,16.467254134390306,Policy 2
0.4,14.105354530359955,-5,16.32530256663753,Policy 2
0.4,14.84774161090522,0,16.18639630994201,Policy 2
0.4,15.59012869145048,5,16.05051114786753,Policy 2
0.4,16.33251577199574,10,15.917675159057731,Policy 2
0.4,17.074902852541005,15,15.787869623092666,Policy 2
0.4,17.817289933086265,20,15.660995146156319,Policy 2
0.4,18.559677013631525,25,15.536933207955473,Policy 2
0.4,19.30206409417679,30,15.415444763701847,Policy 2
0.5,10.393419127633653,-30,17.043060521567384,Policy 2
0.5,11.135806208178913,-25,16.888488285996196,Policy 2
0.5,11.878193288724171,-20,16.736312859894355,Policy 2
0.5,12.620580369269437,-15,16.586938086177376,Policy 2
0.5,13.362967449814697,-10,16.440623229076824,Policy 2
0.5,14.105354530359955,-5,16.29757013591957,Policy 2
0.5,14.84774161090522,0,16.158065373558184,Policy 2
0.5,15.59012869145048,5,16.0221097977402,Policy 2
0.5,16.33251577199574,10,15.889728192663261,Policy 2
0.5,17.074902852541005,15,15.760875267708226,Policy 2
0.5,17.817289933086265,20,15.635404746434036,Policy 2
0.5,18.559677013631525,25,15.513089152447192,Policy 2
0.5,19.30206409417679,30,15.393629793668604,Policy 2
0.6,10.393419127633653,-30,17.03080348111432,Policy 2
0.6,11.135806208178913,-25,16.874279640414976,Policy 2
0.6,11.878193288724171,-20,16.720266082295762,Policy 2
0.6,12.620580369269437,-15,16.569125728330498,Policy 2
0.6,13.362967449814697,-10,16.42138468219755,Policy 2
0.6,14.105354530359955,-5,16.277268468837,Policy 2
0.6,14.84774161090522,0,16.137162585111867,Policy 2
0.6,15.59012869145048,5,16.00113088235336,Policy 2
0.6,16.33251577199574,10,15.869199640650319,Policy 2
0.6,17.074902852541005,15,15.741283443416092,Policy 2
0.6,17.817289933086265,20,15.617179041167706,Policy 2
0.6,18.559677013631525,25,15.496489105878723,Policy 2
0.6,19.30206409417679,30,15.378975669035748,Policy 2
0.7000000000000001,10.393419127633653,-30,17.022658834426785,Policy 2
0.7000000000000001,11.135806208178913,-25,16.864494751588612,Policy 2
0.7000000000000001,11.878193288724171,-20,16.708758054790753,Policy 2
0.7000000000000001,12.620580369269437,-15,16.55602358467306,Policy 2
