a_value,price_drug,sample_size_new,EVPI_pp,EVSI_pp,EVPI,EVSI,ENBS,intro_drug,maintain_drug,drug_cost_per_cycle
0.75,17.0,619,5046.096808141887,2117.8487323505287,3.183026920866583,1.3359175984333096,0.3252994489563179,10392.538,10365.7,10.368682000000002
0.75,17.5,619,4425.909097680476,1658.56896779007,2.791818774561481,1.0462085598658315,0.2472985870606079,10492.538,10465.7,10.468682000000001
0.75,18.0,619,3863.0515176181534,1280.350412310414,2.436773895703538,0.8076321135874817,0.1829685444042778,10592.538,10565.7,10.568682
0.75,18.5,619,3353.943166582223,972.0240386666628,2.1156334878598604,0.6131429499753764,0.130425685716217,10692.538,10665.7,10.668682
0.75,19.0,619,2896.0752895547084,724.5871741261508,1.8268150536936585,0.4570622739612983,0.0881517273068962,10792.538,10765.7,10.768682
0.75,19.5,619,2491.3720364463843,528.6923951235149,1.5715323275423103,0.3334938251323897,0.0545702439124412,10892.538,10865.7,10.868682000000002
0.75,20.0,619,2131.042839905949,380.34720801448566,1.3442403082707328,0.2399191788063112,0.0290079090485267,10992.538,10965.7,10.968682000000001
0.5,10.0,619,3643.188360116146,682.6108609682487,2.298086435703475,0.4305840394167796,3.21096607175988,8992.538,8965.7,8.968682000000001
0.5,10.5,619,4008.724424129469,855.6943647248263,2.5286628944080896,0.5397633661245377,2.943340471896744,9092.538,9065.7,9.068682
0.5,11.0,619,4413.302432415992,1071.984550309404,2.783866617390326,0.6761970315120334,2.683001597014664,9192.538,9165.7,9.168682
0.5,11.5,619,4862.499355556392,1341.489650858719,3.0672155013870297,0.846198127998172,2.43163731665902,9292.538,9265.7,9.268682
0.5,12.0,619,5358.312975450659,1669.3339266764524,3.3799697270509825,1.0529989872476626,2.1901118276156883,9392.538,9365.7,9.368682000000002
0.5,12.5,619,5901.321028922721,2062.939818433173,3.722493724937853,1.3012816098980746,1.9596769104326324,9492.538,9465.7,9.468682000000001
0.5,13.0,619,6494.784202931078,2526.196664885203,4.096844303460962,1.593499351569888,1.740988494717884,9592.538,9565.7,9.568682
0.5,13.5,619,7138.063358271455,3064.4194027400627,4.502618300063043,1.933004820678273,1.5349429344713554,9692.538,9665.7,9.668682
0.5,14.0,619,7830.2571187930225,3682.7586749977054,4.939247135768502,2.323046990826386,1.3424088758706398,9792.538,9765.7,9.768682
0.5,14.5,619,8573.627491488001,4384.309964990658,5.408157661750669,2.765578461648192,1.163908366311489,9892.538,9865.7,9.868682000000002
0.5,15.0,619,9375.385138926158,5174.946709792599,5.913898291159249,3.264304137951177,1.0004319498217926,9992.538,9965.7,9.968682000000001
0.5,15.5,619,9411.34901285782,5234.97778756656,5.936583939741818,3.3021711357334724,0.8527369384761887,10092.538,10065.7,10.068682
0.5,16.0,619,8566.60618810109,4450.154697539612,5.403728694461724,2.807112654167529,0.7198338298534126,10192.538,10165.7,10.168682
0.5,16.5,619,7774.59352563088,3755.4447970468063,4.904135103184944,2.36889666277132,0.6021281398131562,10292.538,10265.7,10.268682
0.5,17.0,619,7036.888738660291,3141.1110481203177,4.438798371477614,1.9813811363004843,0.4979777353611679,10392.538,10365.7,10.368682000000002
0.5,17.5,619,6351.710848976334,2602.404878917634,4.006595076263849,1.641570723578645,0.4065817788583336,10492.538,10465.7,10.468682000000001
0.5,18.0,619,5717.017697797273,2135.802503081657,3.6062370444018894,1.347242655748112,0.32734599041576,10592.538,10565.7,10.568682
0.5,18.5,619,5129.529520001073,1737.589313187993,3.235655433165475,1.0960537959484866,0.2596439085333061,10692.538,10665.7,10.668682
0.5,19.0,619,4587.47699144626,1398.1202849644214,2.893734170749365,0.8819201602456215,0.2018489181520462,10792.538,10765.7,10.768682
0.5,19.5,619,4088.9750260982255,1113.2648156072792,2.57928416391488,0.7022362060937899,0.1532644009397506,10892.538,10865.7,10.868682000000002
0.5,20.0,619,3631.4756455777097,875.0305952297094,2.290698173624929,0.5519604651072241,0.1125424689854545,10992.538,10965.7,10.968682000000001
